manufactor,Year,model,Hand,Gear,Engine_capacity,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test,Supply_score
מיצובישי,2020,לנסר ספורטבק,2,אוטומטית,4200,גז,פרטית,פרטית,חדרה וישובי עמק חפר,חדרה,35000.0,4,2024-01-05,2024-01-05,"2020 מיצובישי אאוטלנדר ספורט ES 4x4 1-בעלים מנוע 4 צילינדרים חזק בנפח 2.0 ליטר עם תיבת הילוכים אוטומטית, הנעה לכל הגלגלים לְנַקוֹת, ללא תאונות 90,000 מיילים מה...",לבן,90000,,0
מיצובישי,2008,לנסר,3,אוטומטית,1600,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,7500.0,6,2023-11-06,2023-12-17,"לרציניים בלבד!! מוכר את הרכב שלי בצער רב. האוטו ללא תאונות יש לו מצבר+אלטרנטור חדשים עם ביטוח, מזגן עובד קור וחום אפשר להתחבר למערכת גם עם כבל USB ויש רמקולים ...",כחול,237000,,10
מיצובישי,2019,אקליפס,1,אוטומטית,2000,בנזין,פרטית,פרטית,"ראשל""צ והסביבה",ראשון לציון,12000.0,2,2023-11-28,2023-11-28,מיציבושי אאוטלנדר דגם אינסטיל. 7 מקומות. ללא תאונות. גגון. כספת,לבן שנהב,29000,,14
מיצובישי,2011,לנסר איוולושן,2,אוטומטית,1500,בנזין,פרטית,פרטית,גליל ועמקים,נצרת עילית,13000.0,4,2023-11-16,2023-11-16,"רכב כמו חדש , מצויין , חיסכוני , טסט עד 05/2024 170,000 ק״ם",שחור,170000,,1
מיצובישי,2014,אטראז',5,אוטומטית,1200,בנזין,פרטית,פרטית,מודיעין והסביבה,מודיעין מכבים רעות,16000.0,5,2023-10-23,2023-10-25,"רכב במצב מעולה כמו חדש. אמין,לא רואה מוסך,חסכוני בדלק. לאחר טיפול תקופתי מקיף,מצבר חדש,צמיגים חדשים. תא מטען ענק ,מזגן מקפיא. טסט עד פברואר. מחירון לוי יצחק 19,...",לבן פנינה,193000,,4
מיצובישי,2018,אטראז',1,אוטומטית,2000,בנזין,פרטית,פרטית,"ראשל""צ והסביבה",ראשון לציון,119000.0,3,2023-08-22,2023-08-22,"מיצובישי אאוטלנדר 2018 , 7 מקומות דגם INSTYLE, יד פרטית ראשונה, ללא תאונות. קילומטראז נמוך 48,000. שמורה ומטופלת במוסך היבואן. 119,000 ש""ח. שי 0506776388",לבן,48500,,4
מיצובישי,2009,לנסר ספורטבק,3,אוטומטית,1800,בנזין,פרטית,פרטית,פתח תקוה והסביבה,פתח תקווה,17000.0,4,2023-07-09,2023-07-09,"הרכב אמין, שמור ומטופל, מצבר חדש ממש, מסך מולטימדיה גדול ואיכותי, מצלמת רוורס, מנוע 1800(!).",שחור,183000,,3
מיצובישי,2019,I-MIEV,1,אוטומטית,2400,היבריד,פרטית,פרטית,גדרה יבנה והסביבה,יבנה,141000.0,1,2023-05-15,2023-05-15,"מיצובישי אאוטלנדר PHEV פלאג אין, שמורה ונקיה, טופלה במוסך היבואן, ק""מ נמוך, צמיגים חדשים",כסוף מטאלי,64000,,0
מיצובישי,2005,לנסר קלאסיק,3,טיפטרוניק,1600,בנזין,פרטית,פרטית,בית שמש והסביבה,בית שמש,7250.0,7,2023-05-15,2023-05-15,רכב שמור ללא תקלות יש טסט ל 7 חודש מזגן מקפיא יש לרכב שני מפתחות ושני שלטים בשווי כל אחד 300 שקלים מערכת שמע טובה מאוד עם בלוטוס מגיע עם שואב אבק שמתחבר למצת ש...,כסוף,225000,,0
מיצובישי,2012,לנסר,2,אוטומטית,1600,בנזין,פרטית,פרטית,חדרה וישובי עמק חפר,חדרה,15000.0,1,2023-05-13,2023-05-13,"Mitsubishi Lancer Instyle 2012 1.6 יד 2 215,000 ק""מ טסט: 09 ברכב קיימת מערכת מולטימדיה Android 9.1 סאב חברת Pioneer ו2 אמפליפיירים מחברת Logic רכב מעולה לא עוש...",לבן,215000,,5
מיצובישי,2008,לנסר קלאסיק,3,אוטומטית,1600,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,8000.0,3,2023-03-25,2023-03-25,לרכב הוחלף לאחרונה טיימינג משאבת מים בלמים קדימה תושבות גיר קדימה ואחורה שמנים ופילטרים,אפור מטאלי,260000,,0
